,Date,open,high,low,close,V,Hour
2456,2019-01-02 09:50:00,31430,31438,31427,31428,16,9
2457,2019-01-02 09:55:00,31428,31430,31424,31430,25,9
2458,2019-01-02 10:00:00,31430,31436,31427,31435,42,10
2459,2019-01-02 10:05:00,31435,31455,31435,31455,92,10
2460,2019-01-02 10:10:00,31455,31460,31451,31455,65,10
2461,2019-01-02 10:15:00,31455,31464,31455,31463,31,10
2462,2019-01-02 10:20:00,31463,31465,31455,31465,26,10
2463,2019-01-02 10:25:00,31465,31465,31455,31455,48,10
2464,2019-01-02 10:30:00,31455,31460,31447,31447,56,10
2465,2019-01-02 10:35:00,31447,31450,31444,31447,43,10
2466,2019-01-02 10:40:00,31447,31455,31447,31455,24,10
2467,2019-01-02 10:45:00,31455,31468,31445,31468,49,10
2468,2019-01-02 10:50:00,31468,31475,31463,31470,49,10
2469,2019-01-02 10:55:00,31470,31485,31470,31471,87,10
2470,2019-01-02 11:00:00,31471,31477,31466,31476,23,11
2471,2019-01-02 11:05:00,31476,31478,31460,31460,42,11
2472,2019-01-02 11:10:00,31460,31480,31460,31472,41,11
2473,2019-01-02 11:15:00,31473,31473,31460,31462,30,11
2474,2019-01-02 11:20:00,31462,31479,31458,31479,26,11
2475,2019-01-02 11:25:00,31479,31479,31465,31470,29,11
2476,2019-01-02 11:30:00,31470,31470,31462,31464,29,11
2477,2019-01-02 11:35:00,31464,31477,31462,31475,28,11
2478,2019-01-02 11:40:00,31475,31487,31475,31480,81,11
2479,2019-01-02 11:45:00,31480,31486,31479,31483,31,11
2480,2019-01-02 11:50:00,31483,31488,31481,31483,50,11
2481,2019-01-02 11:55:00,31483,31483,31476,31476,27,11
2482,2019-01-02 12:00:00,31476,31480,31470,31474,29,12
2483,2019-01-02 12:05:00,31474,31478,31471,31478,12,12
2484,2019-01-02 12:10:00,31478,31485,31476,31484,28,12
2485,2019-01-02 12:15:00,31484,31485,31478,31478,14,12
2486,2019-01-02 12:20:00,31478,31478,31467,31467,34,12
2487,2019-01-02 12:25:00,31467,31479,31467,31479,22,12
2488,2019-01-02 12:30:00,31479,31500,31476,31490,171,12
2489,2019-01-02 12:35:00,31490,31499,31489,31496,38,12
2490,2019-01-02 12:40:00,31496,31520,31495,31520,186,12
2491,2019-01-02 12:45:00,31520,31524,31513,31513,79,12
2492,2019-01-02 12:50:00,31513,31542,31513,31534,152,12
2493,2019-01-02 12:55:00,31534,31539,31524,31534,46,12
2494,2019-01-02 13:00:00,31534,31565,31532,31544,154,13
2495,2019-01-02 13:05:00,31544,31562,31537,31542,80,13
2496,2019-01-02 13:10:00,31542,31555,31536,31548,80,13
2497,2019-01-02 13:15:00,31548,31556,31540,31550,58,13
